Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
18,Ribera Baja del Ebro,50296,Zaida (La),50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50074,Caspe,50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50092,Chiprana,50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50102,Fabara,50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50105,Fayón,50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50152,Maella,50,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,50189,Nonaspe,50,Zaragoza
20,Comunidad de Calatayud,50001,Abanto,50,Zaragoza
20,Comunidad de Calatayud,50009,Alarba,50,Zaragoza
20,Comunidad de Calatayud,50015,Alconchel de Ariza,50,Zaragoza
20,Comunidad de Calatayud,50020,Alhama de Aragón,50,Zaragoza
20,Comunidad de Calatayud,50029,Aniñón,50,Zaragoza
20,Comunidad de Calatayud,50032,Arándiga,50,Zaragoza
20,Comunidad de Calatayud,50034,Ariza,50,Zaragoza
20,Comunidad de Calatayud,50038,Ateca,50,Zaragoza
20,Comunidad de Calatayud,50046,Belmonte de Gracián,50,Zaragoza
20,Comunidad de Calatayud,50047,Berdejo,50,Zaragoza
20,Comunidad de Calatayud,50050,Bijuesca,50,Zaragoza
20,Comunidad de Calatayud,50054,Bordalba,50,Zaragoza
20,Comunidad de Calatayud,50058,Bubierca,50,Zaragoza
20,Comunidad de Calatayud,50065,Cabolafuente,50,Zaragoza
20,Comunidad de Calatayud,50067,Calatayud,50,Zaragoza
20,Comunidad de Calatayud,50070,Calmarza,50,Zaragoza
20,Comunidad de Calatayud,50071,Campillo de Aragón,50,Zaragoza
20,Comunidad de Calatayud,50072,Carenas,50,Zaragoza
20,Comunidad de Calatayud,50075,Castejón de Alarba,50,Zaragoza
20,Comunidad de Calatayud,50076,Castejón de las Armas,50,Zaragoza
20,Comunidad de Calatayud,50079,Cervera de la Cañada,50,Zaragoza
20,Comunidad de Calatayud,50081,Cetina,50,Zaragoza
20,Comunidad de Calatayud,50082,Cimballa,50,Zaragoza
20,Comunidad de Calatayud,50084,Clarés de Ribota,50,Zaragoza
20,Comunidad de Calatayud,50086,Codos,50,Zaragoza
20,Comunidad de Calatayud,50087,Contamina,50,Zaragoza
20,Comunidad de Calatayud,50096,Embid de Ariza,50,Zaragoza
20,Comunidad de Calatayud,50110,Frasno (El),50,Zaragoza
20,Comunidad de Calatayud,50116,Fuentes de Jiloca,50,Zaragoza
20,Comunidad de Calatayud,50120,Godojos,50,Zaragoza
20,Comunidad de Calatayud,50125,Ibdes,50,Zaragoza
20,Comunidad de Calatayud,50129,Jaraba,50,Zaragoza
